iter	Passed	Remaining
0	45	22566
1	85	21382
2	125	20743
3	163	20277
4	200	19866
5	238	19650
6	274	19342
7	312	19195
8	347	18977
9	387	18987
10	424	18849
11	461	18760
12	497	18647
13	534	18552
14	576	18626
15	612	18536
16	649	18447
17	684	18327
18	721	18271
19	757	18178
20	795	18138
21	834	18130
22	871	18081
23	908	18022
24	946	17990
25	983	17932
26	1020	17880
27	1057	17827
28	1093	17763
29	1130	17706
30	1169	17688
31	1205	17636
32	1241	17570
33	1278	17517
34	1314	17458
35	1349	17393
36	1385	17343
37	1422	17290
38	1458	17237
39	1494	17187
40	1531	17140
41	1569	17116
42	1605	17067
43	1643	17033
44	1680	16995
45	1717	16953
46	1753	16899
47	1791	16872
48	1828	16829
49	1866	16794
50	1902	16748
51	1939	16707
52	1974	16654
53	2011	16609
54	2048	16577
55	2084	16528
56	2121	16487
57	2159	16453
58	2198	16431
59	2236	16400
60	2281	16418
61	2322	16405
62	2361	16378
63	2396	16328
64	2434	16289
65	2472	16258
66	2508	16209
67	2546	16179
68	2583	16134
69	2621	16104
70	2658	16061
71	2696	16032
72	2733	15989
73	2769	15945
74	2806	15903
75	2849	15896
76	2886	15855
77	2922	15812
78	2960	15774
79	2996	15733
80	3032	15687
81	3069	15649
82	3108	15619
83	3146	15582
84	3183	15544
85	3224	15524
86	3269	15518
87	3309	15492
88	3351	15477
89	3393	15457
90	3434	15437
91	3473	15404
92	3516	15388
93	3557	15363
94	3597	15335
95	3636	15305
96	3677	15280
97	3720	15260
98	3770	15270
99	3822	15290
100	3868	15280
101	3911	15260
102	3953	15240
103	3997	15219
104	4034	15178
105	4073	15139
106	4112	15104
107	4149	15061
108	4186	15019
109	4224	14976
110	4262	14936
111	4299	14893
112	4336	14851
113	4374	14811
114	4412	14772
115	4451	14736
116	4494	14712
117	4539	14694
118	4583	14674
119	4626	14651
120	4666	14617
121	4706	14583
122	4746	14547
123	4785	14511
124	4831	14493
125	4870	14457
126	4910	14422
127	4952	14394
128	4995	14367
129	5037	14338
130	5075	14295
131	5115	14262
132	5151	14216
133	5189	14175
134	5228	14135
135	5264	14091
136	5300	14044
137	5337	14002
138	5374	13959
139	5410	13911
140	5445	13865
141	5482	13821
142	5518	13777
143	5558	13742
144	5595	13699
145	5632	13657
146	5670	13617
147	5705	13568
148	5742	13527
149	5779	13486
150	5817	13445
151	5853	13402
152	5890	13358
153	5927	13318
154	5966	13280
155	6002	13236
156	6041	13198
157	6077	13155
158	6115	13114
159	6152	13074
160	6188	13031
161	6226	12990
162	6264	12951
163	6301	12910
164	6338	12869
165	6376	12829
166	6415	12793
167	6453	12752
168	6494	12719
169	6538	12692
170	6579	12658
171	6620	12624
172	6660	12588
173	6697	12547
174	6740	12518
175	6783	12487
176	6829	12462
177	6865	12419
178	6901	12376
179	6941	12339
180	6977	12297
181	7013	12254
182	7051	12215
183	7090	12177
184	7127	12135
185	7163	12093
186	7200	12052
187	7237	12011
188	7272	11966
189	7311	11928
190	7348	11888
191	7385	11847
192	7422	11806
193	7460	11767
194	7497	11727
195	7535	11687
196	7572	11647
197	7616	11616
198	7656	11581
199	7692	11538
200	7729	11497
201	7765	11455
202	7802	11415
203	7841	11378
204	7929	11410
205	7966	11369
206	8002	11327
207	8038	11284
208	8078	11248
209	8115	11207
210	8151	11165
211	8189	11125
212	8226	11083
213	8262	11042
214	8299	11001
215	8337	10962
216	8375	10922
217	8412	10882
218	8449	10841
219	8484	10798
220	8522	10759
221	8558	10717
222	8595	10677
223	8631	10635
224	8668	10594
225	8703	10552
226	8739	10510
227	8775	10468
228	8812	10429
229	8853	10393
230	8892	10355
231	8931	10316
232	8971	10281
233	9014	10247
234	9056	10212
235	9092	10171
236	9130	10131
237	9169	10093
238	9206	10053
239	9243	10014
240	9282	9975
241	9319	9935
242	9356	9895
243	9391	9853
244	9430	9815
245	9466	9774
246	9502	9733
247	9538	9692
248	9575	9652
249	9611	9611
250	9648	9571
251	9684	9530
252	9720	9490
253	9755	9448
254	9794	9410
255	9831	9370
256	9866	9329
257	9906	9291
258	9943	9252
259	9978	9210
260	10016	9171
261	10052	9131
262	10089	9092
263	10126	9052
264	10164	9013
265	10202	8975
266	10237	8934
267	10273	8893
268	10309	8853
269	10348	8814
270	10383	8774
271	10422	8736
272	10457	8695
273	10496	8657
274	10532	8617
275	10569	8578
276	10605	8538
277	10643	8499
278	10680	8460
279	10717	8421
280	10753	8380
281	10789	8340
282	10830	8304
283	10866	8264
284	10902	8224
285	10939	8185
286	10975	8145
287	11011	8106
288	11046	8065
289	11084	8026
290	11120	7986
291	11159	7949
292	11203	7914
293	11247	7881
294	11286	7842
295	11323	7804
296	11361	7765
297	11397	7726
298	11435	7687
299	11471	7647
300	11508	7608
301	11545	7569
302	11581	7529
303	11618	7490
304	11655	7452
305	11691	7412
306	11727	7372
307	11763	7333
308	11799	7293
309	11833	7253
310	11870	7213
311	11906	7174
312	11943	7135
313	11980	7096
314	12016	7057
315	12053	7018
316	12089	6979
317	12125	6940
318	12162	6900
319	12201	6863
320	12237	6823
321	12272	6784
322	12309	6745
323	12347	6707
324	12383	6668
325	12420	6629
326	12456	6590
327	12493	6551
328	12530	6512
329	12567	6474
330	12603	6435
331	12640	6396
332	12676	6357
333	12712	6318
334	12748	6279
335	12787	6241
336	12827	6204
337	12863	6165
338	12899	6126
339	12935	6087
340	12972	6048
341	13008	6009
342	13045	5971
343	13082	5932
344	13119	5894
345	13156	5855
346	13194	5817
347	13231	5779
348	13268	5740
349	13306	5702
350	13343	5664
351	13381	5626
352	13424	5590
